"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bhutan","BTN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","10","12.28070175","15.98011364","11.20636865","6.99339207","9.495625322","8.789659224","6.513285807","10.57702059","6.77732942","4.01099373","3.410404624","2.483430488","1.566152408","-18.10863013","5.311513063","5.00045438","5.156111388","8.327160494","4.361122191","7.036383161","8.848985699","10.91965694","7.006666667","8.206545146","4.521708543","4.377452663",
"Botswana","BWA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","11.39634612","11.76501608","16.1676124","14.33080334","10.54292099","10.51254608","10.08285807","8.719931271","6.661398657","7.749296192","8.601485149","6.55903767","8.032796625","9.189902656","6.945703637","8.610225285","11.55521879","7.080998472","12.70218839","8.027297031","6.948876587","8.458165875","7.540284094","5.883888483","4.40313594","3.060357042","3.769304598",
"Central African Republic","CAF","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","-0.012330456","-2.762362807","-1.033608117","-2.915358493","24.57101373","19.18940397","3.724941103","1.611313478","-1.885200962","-1.414202201","3.203400916","3.834860602","2.331817035","4.134709052","-2.066406011","2.883520734","6.695264658","0.92841211","9.272618503","3.5199021","1.493233784","1.300569969","5.772250594","1.501845124","25.28281065","37.14221481","",
"Canada","CAN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","4.764688688","5.615234375","1.505845056","1.84136899","0.185279836","2.168229067","1.570531125","1.621216381","0.995942457","1.734842951","2.719439957","2.52512014","2.258394409","2.758563214","1.857258719","2.213552034","2.002025395","2.138383993","2.370270674","0.299466803","1.776871541","2.912135089","1.515678231","0.938291898","1.906635907","1.125241361","1.428759547",
"Switzerland","CHE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","5.378739656","5.879391926","4.041076353","3.271796746","0.85840708","1.798718961","0.818824341","0.52150124","0.017009696","0.824829932","1.543392089","0.9890204","0.642699253","0.63834928","0.802903084","1.171971667","1.05877759","0.732636421","2.426637033","-0.48057991","0.698510114","0.23134621","-0.692544621","-0.217319662","-0.013186044","-1.143915069","-0.434632563",
"Channel Islands","CHI","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","26.0364778","21.78441991","15.42580328","12.72776141","11.44312436","8.232633546","7.359114663","6.133866515","5.110244133","3.336882862","3.843273473","3.569101134","2.489398331","2.810177259","1.054739332","3.052573943","3.392018991","4.407797905","8.716268548","0.071761556","1.409964751","3.340318008","3.006520356","1.791710733","4.395","4.348867283","3.786661771",
"China","CHN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","3.052290121","3.556685652","6.35398134","14.61007864","24.25734106","16.78945197","8.312847152","2.787113448","-0.849543449","-1.358514164","0.256518286","0.719808092","-0.766719454","1.164517601","3.888815681","1.813995156","1.46607832","4.767210585","5.843024243","-0.700630985","3.325774987","5.410918114","2.643051771","2.62808601","2.000344887","1.437024514","2",
"Cote d'Ivoire","CIV","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","-0.805879698","1.683348499","4.231383829","2.16471454","26.08157199","14.29506909","2.480806692","4.020833333","4.611447595","0.702375806","2.530775167","4.36152914","3.077264852","3.29680747","1.457988356","3.885830399","2.467191486","1.892006293","6.308527692","1.019504577","1.226456121","4.912433951","1.304511199","2.581170373","0.45303046","1.237443262","0.726187589",
"Cameroon","CMR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.099381284","0.060051331","-0.016055046","-3.206554569","35.09446185","9.069690719","3.924063727","4.786238819","3.170751854","1.871745007","1.22719013","4.419772459","2.834422601","0.623163557","0.23364738","2.013539502","5.11757816","0.921402246","5.337806276","3.043618479","1.275380462","2.939699463","2.942510001","1.945145275","1.947948268","2.685982772","0.8657672",
